地区,时间,天气,温度,风向,风级
昆明,08日17时,阵雨,23℃,无持续风向,<3级
昆明,08日20时,阵雨,21℃,无持续风向,<3级
昆明,08日23时,阵雨,19℃,无持续风向,<3级
昆明,09日02时,阵雨,17℃,无持续风向,<3级
昆明,09日05时,阵雨,17℃,无持续风向,<3级
昆明,09日08时,阵雨,17℃,无持续风向,<3级
昆明,09日11时,阵雨,20℃,无持续风向,<3级
昆明,09日14时,阵雨,24℃,无持续风向,<3级
昆明,09日17时,阵雨,23℃,无持续风向,<3级
昆明,09日20时,阵雨,21℃,无持续风向,<3级
昆明,09日23时,阵雨,18℃,无持续风向,<3级
昆明,10日02时,阵雨,17℃,无持续风向,<3级
昆明,10日05时,阵雨,17℃,无持续风向,<3级
昆明,10日08时,阵雨,18℃,无持续风向,<3级
昆明,10日11时,阵雨,22℃,无持续风向,<3级
昆明,10日14时,阵雨,24℃,无持续风向,<3级
昆明,10日17时,阵雨,24℃,无持续风向,<3级
昆明,10日20时,阵雨,20℃,无持续风向,<3级
昆明,10日23时,阵雨,18℃,无持续风向,<3级
昆明,11日02时,阵雨,17℃,无持续风向,<3级
昆明,11日05时,阵雨,17℃,无持续风向,<3级
昆明,11日08时,阵雨,17℃,无持续风向,<3级
昆明,11日14时,中雨,22℃,无持续风向,<3级
昆明,11日20时,大雨,20℃,无持续风向,<3级
昆明,12日02时,中雨,16℃,无持续风向,<3级
昆明,12日08时,中雨,16℃,无持续风向,<3级
昆明,12日14时,中雨,22℃,无持续风向,<3级
昆明,12日20时,中雨,20℃,无持续风向,<3级
昆明,13日02时,中雨,16℃,无持续风向,<3级
昆明,13日08时,中雨,16℃,无持续风向,<3级
昆明,13日14时,中雨,22℃,无持续风向,<3级
昆明,13日20时,中雨,20℃,无持续风向,<3级
昆明,14日02时,中雨,17℃,无持续风向,<3级
昆明,14日08时,中雨,18℃,无持续风向,<3级
昆明,14日14时,阵雨,24℃,无持续风向,<3级
昆明,14日20时,阵雨,22℃,无持续风向,<3级
昆明,15日02时,阵雨,17℃,无持续风向,<3级
南宁,08日08时,中雨,25℃,东北风,<3级
南宁,08日11时,阵雨,27℃,东北风,<3级
南宁,08日14时,阵雨,28℃,东北风,<3级
南宁,08日17时,阵雨,28℃,东北风,<3级
南宁,08日20时,阵雨,25℃,东北风,<3级
南宁,08日23时,多云,25℃,东北风,<3级
南宁,09日02时,多云,25℃,东北风,<3级
南宁,09日05时,多云,25℃,东北风,<3级
南宁,09日08时,多云,26℃,东北风,<3级
南宁,09日11时,多云,29℃,东南风,<3级
南宁,09日14时,多云,31℃,东南风,<3级
南宁,09日17时,多云,31℃,东南风,<3级
南宁,09日20时,多云,28℃,东南风,<3级
南宁,09日23时,多云,26℃,东南风,<3级
南宁,10日02时,多云,25℃,东南风,<3级
南宁,10日05时,多云,25℃,东南风,<3级
南宁,10日08时,多云,26℃,东南风,<3级
南宁,10日11时,多云,31℃,东南风,<3级
南宁,10日14时,多云,32℃,东南风,<3级
南宁,10日17时,多云,32℃,东南风,<3级
南宁,10日20时,多云,27℃,东南风,<3级
南宁,10日23时,多云,26℃,东南风,<3级
南宁,11日02时,阵雨,25℃,东南风,<3级
南宁,11日05时,阵雨,25℃,东南风,<3级
南宁,11日08时,阵雨,25℃,东南风,<3级
南宁,11日14时,阵雨,32℃,东南风,<3级
南宁,11日20时,阵雨,26℃,东南风,<3级
南宁,12日02时,阵雨,25℃,东南风,<3级
南宁,12日08时,阵雨,26℃,东南风,<3级
南宁,12日14时,阵雨,31℃,东南风,<3级
南宁,12日20时,阵雨,27℃,东南风,<3级
南宁,13日02时,阵雨,26℃,东风,<3级
南宁,13日08时,阵雨,26℃,东风,<3级
南宁,13日14时,阵雨,29℃,东风,<3级
南宁,13日20时,阵雨,26℃,东风,<3级
南宁,14日02时,多云,24℃,东北风,<3级
南宁,14日08时,多云,24℃,东北风,<3级
南宁,14日14时,多云,29℃,东北风,<3级
南宁,14日20时,多云,26℃,东北风,<3级
南宁,15日02时,多云,24℃,东北风,<3级
海口,08日08时,阴,28℃,无持续风向,<3级
海口,08日11时,雷阵雨,31℃,无持续风向,<3级
海口,08日14时,雷阵雨,33℃,无持续风向,<3级
海口,08日17时,雷阵雨,30℃,无持续风向,<3级
海口,08日20时,雷阵雨,28℃,无持续风向,<3级
海口,08日23时,雷阵雨,27℃,无持续风向,<3级
海口,09日02时,雷阵雨,26℃,无持续风向,<3级
海口,09日05时,雷阵雨,26℃,无持续风向,<3级
海口,09日08时,雷阵雨,28℃,无持续风向,<3级
海口,09日11时,雷阵雨,32℃,无持续风向,<3级
海口,09日14时,雷阵雨,33℃,无持续风向,<3级
海口,09日17时,雷阵雨,31℃,无持续风向,<3级
海口,09日20时,多云,27℃,无持续风向,<3级
海口,09日23时,多云,26℃,无持续风向,<3级
海口,10日02时,多云,26℃,无持续风向,<3级
海口,10日05时,多云,26℃,无持续风向,<3级
海口,10日08时,多云,27℃,无持续风向,<3级
海口,10日11时,多云,34℃,无持续风向,<3级
海口,10日14时,多云,34℃,无持续风向,<3级
海口,10日17时,多云,31℃,无持续风向,<3级
海口,10日20时,多云,28℃,无持续风向,<3级
海口,10日23时,多云,28℃,无持续风向,<3级
海口,11日02时,多云,28℃,无持续风向,<3级
海口,11日05时,多云,26℃,无持续风向,<3级
海口,11日08时,多云,29℃,无持续风向,<3级
海口,11日14时,多云,34℃,无持续风向,<3级
海口,11日20时,多云,28℃,无持续风向,<3级
海口,12日02时,多云,26℃,无持续风向,<3级
海口,12日08时,多云,28℃,无持续风向,<3级
海口,12日14时,多云,33℃,无持续风向,<3级
海口,12日20时,多云,28℃,无持续风向,<3级
海口,13日02时,小雨,26℃,无持续风向,<3级
海口,13日08时,小雨,27℃,无持续风向,<3级
海口,13日14时,中雨,33℃,无持续风向,<3级
海口,13日20时,中雨,29℃,无持续风向,<3级
海口,14日02时,小雨,26℃,无持续风向,<3级
海口,14日08时,小雨,28℃,无持续风向,<3级
海口,14日14时,小雨,30℃,无持续风向,<3级
海口,14日20时,中雨,27℃,无持续风向,<3级
海口,15日02时,多云,25℃,无持续风向,<3级
